Star,Constellation,Right ascension,Declination,App. mag.,Distance (ly),Spectral type,Brown dwarf
WISE 0040+0900,Pisces,0h 40m 24.88s,9° 0′ 54.8″,-,47.6,T7,-
WISE 0049+0441,Pisces,0h 49m 28.48s,4° 40′ 59.82″,15.85,62.6,L9,-
WISE 0049+2151,Andromeda,0h 49m 45.61s,21° 51′ 20.0″,-,24.1,T8.5,-
WISE 0106+1518,Pisces,1h 6m 37.05s,15° 18′ 52.57″,14.36,142.9,M8 pec,-
WISE 0123+4142,Andromeda,1h 23m 33.28s,41° 42′ 4.52″,17.38,67.2,T7,-
WISE 0135+1715,Pisces,1h 35m 25.64s,17° 15′ 3.4″,-,77.3,T6,-
WISE 0138-0322,Cetus,1h 38m 36.59s,−3° 22′ 21.57″,16.36,57.7,T3,-
WISE 0146+4234,Andromeda,1h 46m 56.66s,42° 34′ 10.0″,18.71,20.5,Y0,-
WISE 0148-7202,Hydrus,1h 48m 7.4s,−72° 2′ 58.87″,18.96,30,T9.5,-
WISE 0150+3827,Andromeda,1h 50m 10.93s,38° 27′ 24.04″,16.07,61.3,T0,-
WISE 0206+2640,Aries,2h 6m 25.29s,26° 40′ 23.64″,16.53,58.4,L9 pec,-
WISE 0221+3842,Andromeda,2h 21m 5.99s,38° 42′ 2.73″,17.59,73.1,T6.5,-
WISE 0223-2932,Fornax,2h 23m 22.39s,−29° 32′ 57.63″,17.34,47,T7.5,-
WISE 0226-0211,Cetus,2h 26m 24s,−2° 11′ 42.51″,18.94,91,T7,-
WISE 0241-3653,Fornax,2h 41m 24.73s,−36° 53′ 28.0″,-,53.8,T7,-
WISE 0245-3450,Fornax,2h 45m 12.62s,−34° 50′ 47.8″,-,56.1,T8,-
WISE 0247+3725,Perseus,2h 47m 14.52s,37° 25′ 23.5″,-,57.1,T8,-
WISE 0305+3954,Perseus,3h 5m 33.55s,39° 54′ 34.77″,17.13,75,T6,-
WISE 0307+2904,Aries,3h 7m 24.58s,29° 4′ 47.46″,17.78,82.8,T6.5,-
WISE 0313+7807,Cepheus,3h 13m 26.02s,78° 7′ 44.4″,17.65,28,T8.5,-
WISE 0316+4307,Perseus,3h 16m 24.35s,43° 7′ 9.1″,-,106.3,T8,-
WISE 0321-7347,Hydrus,3h 21m 20.91s,−73° 47′ 58.8″,-,84.8,T8,-
WISE 0323-6025,Reticulum,3h 23m 37.57s,−60° 25′ 54.5″,18.15,45.3,T8.5,-
WISE 0325-3854,Fornax,3h 25m 17.69s,−38° 54′ 54.1″,-,51.2,T9,-
